ID NODO | ID WAY | Nombre | latitud | longitud 
3172557647 | 39969410 | Granaderos | -32.8837434 | -68.8561163
3172557649 | 39969410 | Granaderos | -32.8837822 | -68.8561267
480890082 | 39969410 | Granaderos | -32.8852402 | -68.8565174
480890095 | 39969410 | Granaderos | -32.8863282 | -68.8568015
480890092 | 39969410 | Granaderos | -32.8873655 | -68.8570594
480890085 | 39969410 | Granaderos | -32.8885027 | -68.8573531
480890083 | 39969410 | Granaderos | -32.8895822 | -68.8576344
480890077 | 39969410 | Granaderos | -32.8906794 | -68.8579
1089228685 | 39969410 | Granaderos | -32.8913879 | -68.8580839
480124264 | 39969410 | Granaderos | -32.8917187 | -68.8581676
480124271 | 39969411 | Corrientes | -32.8822877 | -68.837257
1418202949 | 39969411 | Corrientes | -32.8823101 | -68.8369675
1132334501 | 39969411 | Corrientes | -32.882396299999996 | -68.8352977
1740404532 | 39969413 | 25 de Mayo | -32.8616917 | -68.8309173
3872875687 | 39969413 | 25 de Mayo | -32.8618442 | -68.8309065
1130920466 | 39969413 | 25 de Mayo | -32.8618987 | -68.8309027
1091605098 | 39969414 | Sin Nombre | -32.8926474 | -68.8311509
3599930193 | 39969414 | Sin Nombre | -32.8926767 | -68.8313058
1091605134 | 39969414 | Sin Nombre | -32.892716899999996 | -68.831433
3584728788 | 39969414 | Sin Nombre | -32.8928265 | -68.831568
1091605146 | 39969414 | Sin Nombre | -32.8929741 | -68.8316205
1091605148 | 39969414 | Sin Nombre | -32.8931963 | -68.831545
1386574146 | 39969415 | Ituzaingó | -32.8668016 | -68.8289925
1132334398 | 39969415 | Ituzaingó | -32.8687194 | -68.8290593
1132334407 | 39969415 | Ituzaingó | -32.8694247 | -68.8290899
1132334520 | 39969415 | Ituzaingó | -32.8699568 | -68.8291129
2393875613 | 39969415 | Ituzaingó | -32.8703081 | -68.8291262
583617111 | 39969415 | Ituzaingó | -32.8710023 | -68.8291582
1132334461 | 39969415 | Ituzaingó | -32.8719879 | -68.8291992
480124297 | 39969417 | Videla Castillo | -32.8791274 | -68.8281097
480890255 | 39969417 | Videla Castillo | -32.8779549 | -68.8279877
1132334442 | 39969418 | Chacabuco | -32.8775201 | -68.8359773
1418202932 | 39969418 | Chacabuco | -32.8775344 | -68.8357138
1132334403 | 39969418 | Chacabuco | -32.8775774 | -68.8349246
480890194 | 39969418 | Chacabuco | -32.8776461 | -68.8336618
480890214 | 39969418 | Chacabuco | -32.8777211 | -68.8322842
480890238 | 39969418 | Chacabuco | -32.8777991 | -68.8308463
1749372009 | 39969419 | Maipú | -32.8768204 | -68.8266429
480124305 | 39969419 | Maipú | -32.8768089 | -68.8268433
480890252 | 39969419 | Maipú | -32.8767521 | -68.827893
1132334504 | 39969420 | Ayacucho | -32.8751787 | -68.83535
1418202953 | 39969420 | Ayacucho | -32.875183 | -68.8350923
1102288207 | 40012228 | Gorriti | -32.9091269 | -68.8793168
1102430711 | 40012228 | Gorriti | -32.9086247 | -68.8786367
1102430765 | 40012228 | Gorriti | -32.908001 | -68.8778183
1102406692 | 40012228 | Gorriti | -32.9078241 | -68.8775809
1102406823 | 40012228 | Gorriti | -32.9077537 | -68.8769946
4598306497 | 40012229 | Subida al Cerro | -32.8843178 | -68.8893765
4598306499 | 40012229 | Subida al Cerro | -32.8845384 | -68.8896237
1111132349 | 40012229 | Subida al Cerro | -32.8846804 | -68.8897828
1111132326 | 40012229 | Subida al Cerro | -32.8849854 | -68.8902056
